"","Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref"
"349","PACRITINIB","FLT3","ARTHRITIS","Medline_23349985,Pmcoa_3549988,Medline_18982072,Pmcoa_2575855,Patent_EP2694515B1,Patent_US20150210696,Patent_US9284318","Pmcoa_4993559,Pmcoa_3366067,Pmcoa_3256753,Medline_29743719,Medline_28336242,Pmcoa_3609865,Pmcoa_4863690,Medline_27598824,Medline_22829080,Medline_27334834,Medline_26389774,Medline_22829971,Medline_24746271,Medline_29235894,Medline_27180268,Medline_28576879,Medline_26367195,Medline_23442043,Patent_WO2016024231A1,Pmcoa_4325515,Pmcoa_4223534,Pmcoa_4010335,Pmcoa_3703567,Pmcoa_4844455,Pmcoa_5817793,Pmcoa_3545544,Pmcoa_5712115,Pmcoa_4986686,Pmcoa_3978001,Pmcoa_5392343,Pmcoa_5809833,Medline_27931243,Pmcoa_5146859,Pmcoa_5877759"
"350","INDOLYL","FLT3","ARTHRITIS","Medline_23349985,Pmcoa_3549988,Medline_18982072,Pmcoa_2575855,Patent_EP2694515B1,Patent_US20150210696,Patent_US9284318","Patent_EP2217231B1,Patent_EP2217231A1,Patent_US08841319,Patent_US20110028415A1,Patent_US20110028415,Medline_12145694,Patent_US8841319"
"351","CYCLOHEXANOL","FLT3","ARTHRITIS","Medline_23349985,Pmcoa_3549988,Medline_18982072,Pmcoa_2575855,Patent_EP2694515B1,Patent_US20150210696,Patent_US9284318","Patent_EP1687642A2,Patent_WO2005038465A2"
"352","FOSTAMATINIB","FLT3","ARTHRITIS","Medline_23349985,Pmcoa_3549988,Medline_18982072,Pmcoa_2575855,Patent_EP2694515B1,Patent_US20150210696,Patent_US9284318","Pmcoa_5574491,Pmcoa_3297200"
"353","GILTERITINIB","FLT3","ARTHRITIS","Medline_23349985,Pmcoa_3549988,Medline_18982072,Pmcoa_2575855,Patent_EP2694515B1,Patent_US20150210696,Patent_US9284318","Pmcoa_5613053,Pmcoa_5824388,Medline_28687566,Pmcoa_5127634,Pmcoa_4927655,Medline_28645776,Pmcoa_5576374,Patent_WO2017214433A1,Medline_27908881,Pmcoa_5365340,Medline_29507660,Pmcoa_5823622,Pmcoa_3957536,Medline_28516360,Patent_WO2017019702A1"
"354","PEXIDARTINIB","FLT3","ARTHRITIS","Medline_23349985,Pmcoa_3549988,Medline_18982072,Pmcoa_2575855,Patent_EP2694515B1,Patent_US20150210696,Patent_US9284318","Pmcoa_5924916,Pmcoa_5445366,Medline_25847190,Patent_EP2704713B1,Patent_US20190030013A1,Patent_US20150306085,Patent_EP2704713A1,Pmcoa_4232645"
"355","SU11652","FLT3","ARTHRITIS","Medline_23349985,Pmcoa_3549988,Medline_18982072,Pmcoa_2575855,Patent_EP2694515B1,Patent_US20150210696,Patent_US9284318","Pmcoa_3524753,Medline_23216927"
"356","PHENAZINE","FLVCR1","PSORIASIS","Patent_EP2712930A2,Patent_EP2068924A2,Patent_EP2077858A2,Patent_US20150044222,Patent_US20100143372,Patent_US20150147336,Patent_US20170121771,Patent_US20100261172,Patent_US20110287022,Patent_US20150132313,Patent_WO2008137838A2,Patent_WO2008070137A2,Patent_WO2009155559A1,Pmcoa_5813365","Pmcoa_4626857,Pmcoa_4392322"
"357","CROMOLYN SODIUM","FLVCR1","PSORIASIS","Patent_EP2712930A2,Patent_EP2068924A2,Patent_EP2077858A2,Patent_US20150044222,Patent_US20100143372,Patent_US20150147336,Patent_US20170121771,Patent_US20100261172,Patent_US20110287022,Patent_US20150132313,Patent_WO2008137838A2,Patent_WO2008070137A2,Patent_WO2009155559A1,Pmcoa_5813365","Medline_7401122,Patent_US4075343"
"358","ROPIVACAINE","FLVCR1","PSORIASIS","Patent_EP2712930A2,Patent_EP2068924A2,Patent_EP2077858A2,Patent_US20150044222,Patent_US20100143372,Patent_US20150147336,Patent_US20170121771,Patent_US20100261172,Patent_US20110287022,Patent_US20150132313,Patent_WO2008137838A2,Patent_WO2008070137A2,Patent_WO2009155559A1,Pmcoa_5813365","Medline_11840656,Pmcoa_2766686,Pmcoa_5368154,Pmcoa_5342240,Pmcoa_4644303"
"359","CALCIUM GLUCONATE","FLVCR1","PSORIASIS","Patent_EP2712930A2,Patent_EP2068924A2,Patent_EP2077858A2,Patent_US20150044222,Patent_US20100143372,Patent_US20150147336,Patent_US20170121771,Patent_US20100261172,Patent_US20110287022,Patent_US20150132313,Patent_WO2008137838A2,Patent_WO2008070137A2,Patent_WO2009155559A1,Pmcoa_5813365","Pmcoa_3489850,Medline_22830991"
"360","POLYHISTIDINE","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Patent_US20100095387,Patent_US20100095387A1,Pmcoa_2172957,Patent_US20050159354"
"361","VARDENAFIL","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_21253331,Pmcoa_3021811"
"362","PERMETHRIN","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Pmcoa_2626604,Medline_15527870,Medline_8856738"
"363","MEPYRAMINE","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_12925217,Medline_12873950"
"364","ATOMOXETINE","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_12431845,Patent_EP1458368B1,Patent_US20050009925,Patent_EP1458368A1,Patent_WO2005053663A2,Patent_WO2003049724A1,Medline_22119060"
"365","PICROTOXIN","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_24631673,Pmcoa_3659130,Pmcoa_4233066,Medline_21524663,Pmcoa_2930627"
"366","CHEMBL444478","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Pmcoa_3851776,Medline_24324641,Pmcoa_4560509"
"367","TAMSULOSIN","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Pmcoa_5636963,Pmcoa_3321398,Pmcoa_5169092"
"368","{7,7-DIMETHYL-2-OXOBICYCLO[2.2.1]HEPTAN-1-YL}METHANESULFONIC ACID","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Pmcoa_5006729,Patent_US20160120833"
"369","NISOLDIPINE","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_10764409,Medline_7521477"
"370","ALOSETRON","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Patent_US6429209,Patent_US6593336,Patent_WO1999017755A2,Patent_US20030036549,Patent_US20010044450,Medline_10716675"
"371","PHYSOSTIGMINE","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_11337201,Medline_28264149,Medline_11743949"
"372","LEVOFENFLURAMINE","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_9452197,Medline_9593827"
"373","MANIDIPINE","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_8381576,Medline_1570335"
"374","FLUROTHYL","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_10690748,Medline_12457067"
"375","TCV 116","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_7769485,Medline_7884580"
"376","CILNIDIPINE","FSTL1","ARTHRITIS","Pmcoa_3334643,Pmcoa_3241361,Pmcoa_3857907,Pmcoa_4407312,Medline_20860622,Patent_US20070253962,Patent_US20110274698,Patent_US7972599,Patent_US8334274,Medline_24768929,Medline_22006268,Medline_21303509,Medline_22117761,Pmcoa_5372617,Medline_19109154,Pmcoa_4856269,Patent_US20170260128,Patent_WO2017160709A1","Patent_EP2968166A1,Patent_WO2014164904A1"
"377","4-METHYLCATECHOL","FUT1","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_17447103,Medline_23770628,Medline_23315165","Pmcoa_3964478,Patent_US20130230580,Patent_WO2012037283A2"
"378","DYCLONINE","FXN","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_10677247,Medline_2062564,Medline_6374861","Patent_US20180333386A1,Patent_US20180333386,Pmcoa_6191506,Pmcoa_4245046,Medline_25113747"
"379","3-PHOSPHOGLYCERATE","G6PD","PSORIASIS","Medline_5899507,Medline_5412727,Medline_5622849","Pmcoa_5559954,Patent_US9884815,Patent_US20190002404A1"
"380","16.ALPHA.-BROMOEPIANDROSTERONE","G6PD","PSORIASIS","Medline_5899507,Medline_5412727,Medline_5622849","Patent_EP0934745A1,Patent_EP0934745B1"
"381","8-AMINOQUINOLINE","G6PD","PSORIASIS","Medline_5899507,Medline_5412727,Medline_5622849","Pmcoa_3708701,Pmcoa_5433686"
"382","1-ANILINO-8-NAPTHALENESULFONATE","G6PD","PSORIASIS","Medline_5899507,Medline_5412727,Medline_5622849","Pmcoa_5713214,Pmcoa_5625996"
"383","MOSAPRIDE","GAST","CROHN'S DISEASE","Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463","Pmcoa_3816184,Medline_24199010"
"384","FAMOTIDINE","GAST","CROHN'S DISEASE","Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463","Medline_8166283,Medline_2565384,Medline_25056694,Medline_10221827,Pmcoa_4895597,Medline_1362785,Medline_9178349"
"385","INSEGIA","GAST","CROHN'S DISEASE","Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463","Medline_11736730,Patent_WO1999059628A2,Medline_11033048"
"386","PENTETIC ACID","GAST","CROHN'S DISEASE","Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463","Medline_10568142,Medline_11476170"
"387","TOLBUTAMIDE","GAST","CROHN'S DISEASE","Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463","Medline_3065196,Medline_6642411"
"388","NIZATIDINE","GAST","CROHN'S DISEASE","Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463","Medline_1796924,Medline_9034938"
"389","PIRENZEPINE","GAST","CROHN'S DISEASE","Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463","Medline_8680534,Medline_6896823,Medline_7895929,Medline_2562365,Medline_2857528,Medline_6957988,Medline_3111703,Medline_7933468,Patent_EP1613626A1,Patent_US20080033006,Patent_EP1332143A1,Patent_EP1718648A1,Patent_EP1776361A1,Patent_EP1824850A2,Patent_EP1910313A1,Patent_US20070066674,Patent_WO2005058325A1,Patent_EP1799681A1,Patent_EP1565465A1,Patent_EP1711498A2,Patent_EP1742951A1,Patent_US20070191334,Patent_US6096758,Patent_WO2003014120A1,Patent_WO2008017466A1,Patent_EP1904454A2,Patent_US20070167427,Patent_US20070244173,Patent_US20080102133,Patent_US20080113963,Patent_WO2006100254A1,Patent_EP1417208A1,Patent_EP1718648B1,Patent_EP1615624A2,Patent_EP1735318A2,Patent_EP1758900B1,Patent_EP1797089A1,Patent_US20040214852,Patent_US20040235883,Patent_US20060194969,Patent_US20080280855,Patent_US20090093473,Patent_EP1802629A1,Patent_EP1805173A2,Patent_US20030139412,Patent_US20080113962,Patent_EP1303519B1,Patent_EP1419156A1,Patent_EP1419163A1,Patent_EP1799211A1,Patent_EP1899341A1,Patent_US20040106642,Patent_EP1697357A2,Patent_EP1718646A1,Patent_EP1758900A1,Patent_EP1863820A1,Patent_US20040235882,Patent_US20050049272,Patent_US20060100234,Patent_US20060194968,Patent_US6696461,Patent_WO2004087701A1,Patent_WO2004046144A1,Patent_WO2005077949A1,Patent_WO2006037763A1,Patent_WO2006040338A1,Patent_WO2006100255A1,Patent_EP1934215A1,Patent_US20070037840,Patent_US20070203114,Patent_WO2000026217A1,Patent_WO2006037748A1,Patent_WO2006037759A1,Patent_WO2006134111A1,Patent_EP1303519A1,Patent_EP1419163B1,Patent_EP1696921A1,Patent_EP1799190A1,Patent_US20060204568,Patent_US20070244154,Patent_EP1127059B1,Patent_EP1670795A1,Patent_EP1899338A1,Patent_US20080050428,Patent_EP1127059A1,Patent_EP1419163B9,Patent_EP1926714A1,Patent_US6384048,Patent_WO2008151927A2,Patent_US20080114020,Patent_US20080119510,Patent_WO2005070927A2,Patent_WO2006136552A2,Patent_US5665730,Patent_US7141567,Patent_US7307084,Patent_WO2001072757A1,Patent_WO2003014123A1,Patent_WO2004054984A1,Patent_WO2004089342A2,Patent_WO2004074289A1,Patent_WO2008071765A1,Patent_US7223771,Patent_US7326718,Patent_WO2003016310A1,Patent_WO2006013195A1,Patent_WO2007039464A1,Patent_WO2008058990A1,Patent_US6869949,Patent_WO2002034749A1,Patent_WO2005090346A2,Patent_WO2007023135A1,Patent_WO2008095912A2,Patent_US20060194782,Patent_US20070287726,Patent_WO2005077947A1,Patent_WO2005103057A1,Patent_WO2005121139A1,Patent_WO2006134112A1,Patent_WO2005026164A1,Patent_WO2005058893A1,Patent_WO2005090358A2,Patent_WO2006037766A1,Patent_WO2008015196A1,Medline_8483969,Medline_2979673,Medline_2892879,Medline_6113682,Medline_3840755,Medline_6150592"
"390","METIAMIDA","GAST","CROHN'S DISEASE","Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463","Medline_184871,Medline_1686922,Medline_437421"
"391","AMINOPHENAZONE","GGTLC1","ARTHRITIS","Medline_14455,Medline_14456,Medline_31141,Medline_17680722","Medline_6123588,Medline_2862671"
"392","PEGVISOMANT","GHR","AGE RELATED OSTEOPOROSIS","Patent_US20040033948,Medline_23812803","Medline_30289037,Pmcoa_4592912,Pmcoa_4484508,Clinicaltrial_NCT01995734,Medline_17077948,Patent_US20070243192,Pmcoa_2721386,Patent_US20070243192A1,Patent_US20170304405,Patent_US20170304405A1,Medline_30602026,Pmcoa_2676637,Pmcoa_4070916,Patent_EP3007704A1,Patent_US20160129089,Patent_US20160129089A1,Medline_29805678,Medline_26496767,Pmcoa_4963385,Medline_10984267,Medline_11940041,Medline_12063860,Medline_15497105,Medline_15649100,Medline_16908925,Medline_17289896,Medline_22442272,Medline_29371335,Patent_US07541512,Patent_US08563803,Patent_US08580733,Patent_US20040048315,Patent_US20040236015,Patent_US20090180989,Patent_US20100158923A1,Patent_US20110098442,Patent_US20160353718,Patent_US8067533,Pmcoa_3299169,Pmcoa_3356038,Medline_15500374,Medline_16498061,Medline_16625847,Medline_17534717,Patent_US08071368,Patent_US20070190601,Patent_US20080124792,Patent_US20100316639,Pmcoa_3111724,Pmcoa_3277484,Pmcoa_4799252,Pmcoa_5127251,Pmcoa_4285053,Pmcoa_6270800,Clinicaltrial_NCT00017927,Medline_11734231,Medline_16335261,Medline_17427111,Medline_18492755,Medline_20616494,Medline_26661938,Medline_28713554,Patent_EP1868685A2,Patent_EP1931698A1,Patent_EP2046953A1,Patent_US20080153791A1,Patent_US20090068110,Patent_US20090105462,Patent_US20100021966,Patent_US20100081787,Patent_US20120027714A1,Patent_US20160220628A1,Patent_US7432103,Patent_US7884074,Medline_11733269,Medline_15539805,Medline_16789626,Medline_17218728,Medline_18634256,Medline_19758960,Medline_20616509,Medline_22261974,Medline_23765756,Medline_26243033,Medline_26662620,Medline_27455094,Patent_EP2512462A1,Patent_US20070113299A1,Patent_US20090074718,Patent_US20090215676A1,Patent_US20130276153,Patent_US20170342063,Patent_US8071368,Pmcoa_3906541,Pmcoa_5445072,Clinicaltrial_NCT00642720,Clinicaltrial_NCT00921609,Medline_12721511,Medline_15585549,Medline_18175223,Medline_20595800,Medline_20658440,Medline_22408123,Medline_23441666,Medline_24937542,Patent_EP2029141A2,Patent_US20060015960A1,Patent_US20090182130,Patent_US20100062982,Patent_US20100279924,Pmcoa_3359955,Pmcoa_3555549,Pmcoa_3895214,Pmcoa_4411033,Pmcoa_5545017,Clinicaltrial_NCT00595140,Medline_12477295,Medline_16982575,Medline_17359733,Medline_18058724,Medline_18617577,Medline_19444656,Medline_19549743,Medline_24144967,Medline_25248589,Medline_26796763,Medline_27241667,Patent_EP1501547A1,Patent_EP1546185B1,Patent_EP1988910B1,Patent_US20090188002,Patent_US20100279924A1,Patent_US20100316639A1,Patent_US20150050714A1,Patent_US20170143841A1,Clinicaltrial_NCT00642421,Medline_11932303,Medline_12372843,Medline_17982395,Medline_18766168,Medline_19147599,Medline_19945023,Medline_23785020,Medline_23930065,Patent_EP2126071A1,Patent_EP2274328A1,Patent_EP2274329A1,Patent_US07803362,Patent_US07812127,Patent_US20080064862A1,Patent_US20100196330A1,Clinicaltrial_NCT00701363,Medline_12675503,Medline_16541323,Medline_16780450,Medline_17940458,Medline_18388193,Medline_19153502,Medline_19373755,Medline_20502324,Medline_22322534,Medline_25677539,Patent_EP1874355A2,Patent_EP2558538A2,Patent_US07795496,Patent_US07812215,Patent_US10182561,Patent_US20030212088,Patent_US20060015960,Patent_US20080171696,Patent_US20090188002A1,Patent_US20090286739A1,Patent_US20090307786,Patent_US20160287715,Patent_US8383380,Pmcoa_2459161,Medline_10946911,Medline_11235955,Medline_11701672,Medline_12423627,Medline_25813261,Patent_EP1546389A2,Patent_EP1987062A1,Patent_EP1987063A1,Patent_US07884074,Patent_US20080124792A1,Patent_US20080171696A1,Patent_US20090068110A1,Patent_US20100062982A1,Patent_US20180201929,Patent_US7294507,Patent_US8088890,Pmcoa_4870851,Pmcoa_5141352,Pmcoa_5345253,Pmcoa_5931261,Medline_15497656,Medline_17047392,Medline_19818658,Medline_26873451,Medline_27352098,Medline_30325178,Patent_EP1545428B1,Patent_EP1725091A1,Patent_EP1987062B1,Patent_EP1987063B1,Patent_EP2007803A1,Patent_EP3254678A2,Patent_US20080070248,Patent_US20080070248A1,Patent_US20090197815,Patent_US20090197815A1,Patent_US20090286725,Patent_US20170274089,Pmcoa_5492507,Pmcoa_6063983,Medline_11701711,Medline_19965922,Medline_25542184,Medline_26811671,Patent_EP1455814A2,Patent_EP2076530A1,Patent_EP2328925A1,Patent_US20050003414,Patent_US20090180989A1,Patent_US20160353718A1,Patent_US7799758,Patent_US8765432,Pmcoa_2855858,Pmcoa_3328958,Pmcoa_4533360,Patent_US20170007710A1,Patent_US20170143841,Patent_US8148331,Pmcoa_3269320,Pmcoa_3883424,Pmcoa_4114045,Pmcoa_5781307,Pmcoa_5863474,Medline_11443156,Medline_16061824,Medline_18431372,Medline_18611977,Medline_21448141,Patent_EP1633781A2,Patent_EP1766067A1,Patent_EP2256131A1,Patent_EP2389198B1,Patent_EP3253401A1,Patent_US20050273873,Patent_US20100303806A1,Patent_US20100333219,Patent_US20160220628,Patent_US7351582,Patent_US7795496,Patent_US7812215,Patent_US7803362,Patent_US7812127,Patent_US8846021,Pmcoa_1974833,Pmcoa_2913005,Pmcoa_3906551,Pmcoa_4714742,Clinicaltrial_NCT00616551,Medline_12846737,Medline_14557452,Medline_15761238,Medline_16269873,Medline_21045065,Medline_28025719,Patent_EP1937294A1,Patent_EP1988910A2,Patent_US08067533,Patent_US20070113299,Patent_US20080153791,Patent_US20090074718A1,Patent_US20090099067,Patent_US20090099067A1,Patent_US20090286739,Patent_US20140289879,Patent_US20170274089A1,Patent_US7541512,Patent_US8563803,Patent_US8580733,Patent_US7470779,Clinicaltrial_NCT00690898,Medline_11157994,Medline_11527090,Medline_14644022,Medline_15765032,Medline_16259571,Medline_18174713,Medline_20003832,Medline_20823464,Medline_23040748,Medline_24423298,Medline_25792221,Medline_28100630,Medline_28444169,Medline_29594258,Patent_US20050080007,Patent_US20070092486,Patent_US20080064862,Patent_US20090215676,Patent_US7524626,Pmcoa_2575541,Pmcoa_3906557,Medline_11772281,Medline_12721507,Medline_12864793,Medline_14499709,Medline_16452533,Medline_19773369,Medline_21498159,Medline_25916431,Patent_US07485620,Patent_US08815242,Patent_US20160287715A1,Patent_US20180125791A1,Patent_US7335761,Patent_US7511120,Patent_US8124732,Pmcoa_2459162,Clinicaltrial_NCT00552851,Medline_10754533,Medline_15497660,Medline_16720661,Medline_16728538,Medline_16840917,Medline_19523354,Medline_19852525,Medline_20444908,Medline_22908135,Medline_27513761,Patent_EP1455814B1,Patent_US07511120,Patent_US20070092486A1,Patent_US20090286725A1,Patent_US20100303806,Patent_US20170342063A1,Patent_US20180125791,Patent_US7485620,Patent_US7666833,Patent_US8383399,Patent_US8815242,Pmcoa_3296430,Pmcoa_3730090,Pmcoa_4818908,Pmcoa_4824818,Pmcoa_5108467,Pmcoa_6190856,Pmcoa_4531065,Pmcoa_4542445,Pmcoa_4763006,Pmcoa_4888203,Pmcoa_5836533,Pmcoa_3234180,Pmcoa_5443862,Pmcoa_6114276,Pmcoa_4155078,Pmcoa_4451637,Pmcoa_4524590,Pmcoa_5059632,Pmcoa_5379584,Pmcoa_6323053,Pmcoa_3636268,Pmcoa_3906545,Pmcoa_4397949,Medline_15134290,Patent_US7763244,Patent_US20100240875,Patent_US07763244,Pmcoa_5655576,Pmcoa_3585250"
"393","MACIMORELIN","GHSR","ARTHRITIS","Medline_28636167,Medline_16030067","Medline_27378373,Medline_24834478,Pmcoa_5614981"
"394","ANAMORELIN HYDROCHLORIDE","GHSR","ARTHRITIS","Medline_28636167,Medline_16030067","Pmcoa_4248409,Pmcoa_3012235,Pmcoa_4538579,Medline_25267366"
"395","ULIMORELIN","GHSR","ARTHRITIS","Medline_28636167,Medline_16030067","Medline_24670149,Pmcoa_4212306,Medline_19121631,Medline_17436082,Pmcoa_3174087,Medline_23739196,Medline_19432500,Patent_WO2017197131A1,Patent_WO2017083882A1"
"396","MACIMORELIN ACETATE","GHSR","ARTHRITIS","Medline_28636167,Medline_16030067","Medline_27378373,Pmcoa_5614981"
"397","IPAMORELIN","GHSR","ARTHRITIS","Medline_28636167,Medline_16030067","Medline_25331030,Medline_9849822,Medline_19289567,Pmcoa_4863553"
"398","RELAMORELIN","GHSR","ARTHRITIS","Medline_28636167,Medline_16030067","Medline_28832359,Patent_WO2017197328A1"
"399","2-AMINO-4-CARBAMOYLBUTANOATE","GIF","SARCOIDOSIS","Pmcoa_3385203,Pmcoa_4581271","Patent_EP0324270B1,Patent_EP0324270A1"
"400","ALOGLIPTIN","GIP","AGE RELATED OSTEOPOROSIS","Medline_26642272,Patent_EP1119625A1,Patent_EP1119625B1,Patent_US20130137631,Patent_US6410508,Patent_US20130196913,Patent_US8895498,Patent_US20080312157,Patent_US20090036364,Patent_US20130281374,Patent_US8263545,Patent_US8404637,Patent_US9133260","Patent_US20130059872A1,Pmcoa_6340677,Pmcoa_4166248"
"401","ALFADEX","GLB1","SCLERODERMA","Medline_2128055,Medline_6785118,Medline_16285646","Medline_25670982,Pmcoa_4311648"
"402","SODIUM ACETATE","GLB1","SCLERODERMA","Medline_2128055,Medline_6785118,Medline_16285646","Pmcoa_5419085,Pmcoa_5449214"
"403","MIGALASTAT","GLB1","SCLERODERMA","Medline_2128055,Medline_6785118,Medline_16285646","Patent_US20160174543,Patent_US20180000066,Patent_US9788539,Patent_US20170156310,Patent_US20140099629,Patent_US20160145573,Patent_US20160143269,Patent_US9609861,Patent_EP2903430A1,Patent_WO2014055988A1,Patent_WO2014120886A1"
"404","(4-CARBOXYLATOPHENYL)(CHLORO)MERCURY","GLB1","SCLERODERMA","Medline_2128055,Medline_6785118,Medline_16285646","Medline_5822067,Patent_EP0775215B1"
"405","PHENYL PHOSPHATE","GLB1","SCLERODERMA","Medline_2128055,Medline_6785118,Medline_16285646","Patent_EP1151090B1,Patent_EP1151090A1,Patent_US6586196"
"406","ALLOLACTOSE","GLB1","SCLERODERMA","Medline_2128055,Medline_6785118,Medline_16285646","Pmcoa_2739290,Pmcoa_5429307,Pmcoa_4679788"
"407","SODIUM CARBONATE SODIUM","GLB1","SCLERODERMA","Medline_2128055,Medline_6785118,Medline_16285646","Pmcoa_5908411,Medline_8022268"
"408","GLYCEROPHOSPHATE","GLB1","SCLERODERMA","Medline_2128055,Medline_6785118,Medline_16285646","Pmcoa_5676064,Medline_9595668"
"409","TASPOGLUTIDE","GLP1R","PSORIASIS","Medline_22160246,Medline_21744074","Medline_25656522,Pmcoa_3579343,Patent_US20170275591,Patent_EP2804603A1,Patent_US20160010061,Patent_US9688960,Patent_WO2013106547A1,Medline_23463748"
"410","DULAGLUTIDE","GLP1R","PSORIASIS","Medline_22160246,Medline_21744074","Medline_28283565,Medline_25860029,Medline_26059826,Pmcoa_4509428,Pmcoa_6164486,Patent_US20170275370,Medline_27279266,Medline_29708650,Pmcoa_5042083,Pmcoa_5848589,Pmcoa_5064615,Medline_26179187,Medline_27059816,Medline_29483060,Patent_US20170275370A1,Pmcoa_4113177,Pmcoa_5008205,Medline_28294499,Medline_30289034,Medline_25029955,Medline_26656966,Medline_26009229,Pmcoa_4934019,Pmcoa_6099453,Patent_EP3329930A1,Pmcoa_6021307,Medline_26661514,Pmcoa_5013324,Medline_24742660,Pmcoa_4705511,Medline_24980665,Medline_26847401,Medline_29377522,Medline_26089386,Pmcoa_6302261"
"411","SEMAGLUTIDE","GLP1R","PSORIASIS","Medline_22160246,Medline_21744074","Medline_29574633,Medline_29439603,Pmcoa_5483425,Pmcoa_5870815"
"412","ALBIGLUTIDE","GLP1R","PSORIASIS","Medline_22160246,Medline_21744074","Pmcoa_4705137,Medline_28050889,Patent_US20140073563,Patent_US20140378374,Medline_26577795,Patent_US20170189440,Medline_25155146,Patent_WO2015171723A1,Patent_US20130143800,Medline_25387217,Medline_25048383,Pmcoa_5401818,Patent_US20170275591,Patent_US20160010061,Patent_US9688960,Patent_WO2013106547A1,Patent_EP2804603A1,Pmcoa_2752910,Pmcoa_5347937"
